Upper_xs,Upper_vs,Upper_ts,Upper_timestamps,Lower_xs,Lower_vs,Lower_ts,Lower_timestamps,Esf_xs,Esf_vs,Esf_ts,Esf_timestamps,Upper_absolute_ts,Lower_absolute_ts,Esf_absolute_ts
0,139,0,2020-07-22 08:54:39.999,0,139,2.349,2020-07-22 08:54:42.348,0,139,0,2020-07-22 08:54:39.999,0,2.349,0
3.86187314303107,139.054830166488,0.1,2020-07-22 08:54:40.099,3.86187314303107,139.054830166488,2.449,2020-07-22 08:54:42.448,3.86187314303107,139.054830166488,0.1,2020-07-22 08:54:40.099,0.1,2.449,0.1
7.72526633320583,139.109443535576,0.2,2020-07-22 08:54:40.199,7.72526633320583,139.109443535576,2.549,2020-07-22 08:54:42.548,7.72526633320583,139.109443535576,0.2,2020-07-22 08:54:40.199,0.2,2.549,0.2
11.5901735601516,139.163840954696,0.3,2020-07-22 08:54:40.299,11.5901735601516,139.163840954696,2.649,2020-07-22 08:54:42.648,11.5901735601516,139.163840954696,0.3,2020-07-22 08:54:40.299,0.3,2.649,0.3
15.4565888369907,139.218023268043,0.4,2020-07-22 08:54:40.399,15.4565888369907,139.218023268043,2.749,2020-07-22 08:54:42.748,15.4565888369907,139.218023268043,0.4,2020-07-22 08:54:40.399,0.4,2.749,0.4
19.3245062002502,139.271991316591,0.5,2020-07-22 08:54:40.499,19.3245062002502,139.271991316591,2.849,2020-07-22 08:54:42.848,19.3245062002502,139.271991316591,0.5,2020-07-22 08:54:40.499,0.5,2.849,0.5
23.1939197097733,139.325745938101,0.6,2020-07-22 08:54:40.599,23.1939197097733,139.325745938101,2.949,2020-07-22 08:54:42.948,23.1939197097733,139.325745938101,0.6,2020-07-22 08:54:40.599,0.6,2.949,0.6
27.0648234486295,139.379287967136,0.7,2020-07-22 08:54:40.699,27.0648234486295,139.379287967136,3.049,2020-07-22 08:54:43.048,27.0648234486295,139.379287967136,0.7,2020-07-22 08:54:40.699,0.7,3.049,0.7
30.9372115230266,139.432618235069,0.8,2020-07-22 08:54:40.799,30.9372115230266,139.432618235069,3.149,2020-07-22 08:54:43.148,30.9372115230266,139.432618235069,0.8,2020-07-22 08:54:40.799,0.8,3.149,0.8
34.8110780622218,139.485737570098,0.9,2020-07-22 08:54:40.899,34.8110780622218,139.485737570098,3.249,2020-07-22 08:54:43.248,34.8110780622218,139.485737570098,0.9,2020-07-22 08:54:40.899,0.9,3.249,0.9
38.6864172184339,139.538646797255,1,2020-07-22 08:54:40.999,38.6864172184339,139.538646797255,3.349,2020-07-22 08:54:43.348,38.6864172184339,139.538646797255,1,2020-07-22 08:54:40.999,1,3.349,1
