Upper_xs,Upper_vs,Upper_ts,Upper_timestamps,Lower_xs,Lower_vs,Lower_ts,Lower_timestamps,Esf_xs,Esf_vs,Esf_ts,Esf_timestamps,Upper_absolute_ts,Lower_absolute_ts,Esf_absolute_ts
0,0,0,2020-07-22 08:15:00.000,0,0,7.377,2020-07-22 08:15:07.377,0,0,0,2020-07-22 08:15:00.000,0,7.377,0
0.00547522348374985,0.394169101271696,0.1,2020-07-22 08:15:00.100,0.00547522348374985,0.394169101271696,7.477,2020-07-22 08:15:07.476,0.00547522348374985,0.394169101271696,0.1,2020-07-22 08:15:00.100,0.1,7.477,0.1
0.0218956707825905,0.78805608997408,0.2,2020-07-22 08:15:00.200,0.0218956707825905,0.78805608997408,7.577,2020-07-22 08:15:07.577,0.0218956707825905,0.78805608997408,0.2,2020-07-22 08:15:00.200,0.2,7.577,0.2
0.0492535033783855,1.18166081808303,0.3,2020-07-22 08:15:00.300,0.0492535033783855,1.18166081808303,7.677,2020-07-22 08:15:07.677,0.0492535033783855,1.18166081808303,0.3,2020-07-22 08:15:00.300,0.3,7.677,0.3
0.0875408786531408,1.5749831384328,0.4,2020-07-22 08:15:00.400,0.0875408786531408,1.5749831384328,7.777,2020-07-22 08:15:07.777,0.0875408786531408,1.5749831384328,0.4,2020-07-22 08:15:00.400,0.4,7.777,0.4
0.136749949912839,1.96802290471537,0.5,2020-07-22 08:15:00.500,0.136749949912839,1.96802290471537,7.877,2020-07-22 08:15:07.877,0.136749949912839,1.96802290471537,0.5,2020-07-22 08:15:00.500,0.5,7.877,0.5
0.196872866411257,2.36077997147982,0.6,2020-07-22 08:15:00.600,0.196872866411257,2.36077997147982,7.977,2020-07-22 08:15:07.977,0.196872866411257,2.36077997147982,0.6,2020-07-22 08:15:00.600,0.6,7.977,0.6
0.267901773373766,2.75325419413172,0.7,2020-07-22 08:15:00.700,0.267901773373766,2.75325419413172,8.077,2020-07-22 08:15:08.077,0.267901773373766,2.75325419413172,0.7,2020-07-22 08:15:00.700,0.7,8.077,0.7
0.349828812021111,3.14544542893241,0.8,2020-07-22 08:15:00.800,0.349828812021111,3.14544542893241,8.177,2020-07-22 08:15:08.177,0.349828812021111,3.14544542893241,0.8,2020-07-22 08:15:00.800,0.8,8.177,0.8
0.442646119593178,3.53735353299844,0.9,2020-07-22 08:15:00.900,0.442646119593178,3.53735353299844,8.277,2020-07-22 08:15:08.277,0.442646119593178,3.53735353299844,0.9,2020-07-22 08:15:00.900,0.9,8.277,0.9
0.546345829372734,3.92897836430083,1,2020-07-22 08:15:01.000,0.546345829372734,3.92897836430083,8.377,2020-07-22 08:15:08.376,0.546345829372734,3.92897836430083,1,2020-07-22 08:15:01.000,1,8.377,1
0.660920070709162,4.32031978166448,1.1,2020-07-22 08:15:01.100,0.660920070709162,4.32031978166448,8.477,2020-07-22 08:15:08.477,0.660920070709162,4.32031978166448,1.1,2020-07-22 08:15:01.100,1.1,8.477,1.1
0.786360969042162,4.71137764476748,1.2,2020-07-22 08:15:01.200,0.786360969042162,4.71137764476748,8.577,2020-07-22 08:15:08.577,0.786360969042162,4.71137764476748,1.2,2020-07-22 08:15:01.200,1.2,8.577,1.2
0.922660645925448,5.10215181414045,1.3,2020-07-22 08:15:01.300,0.922660645925448,5.10215181414045,8.677,2020-07-22 08:15:08.677,0.922660645925448,5.10215181414045,1.3,2020-07-22 08:15:01.300,1.3,8.677,1.3
